food_name,dairy,gluten,fodmap,keto,meat,fruit,vegetable,grains,fish_seafood,legume,sugar_syrup,acohols,fried_high_fat,raw
poke bowl,,,1,,0,0,1,1,1,0,0,0,0,0
pizza,1,1,1,,1,1,1,1,0,0,0,0,1,0
schweppes ginger ale,0,0,1,,0,0,0,0,0,0,0,0,0,0
turkey sandwich,1,1,1,,1,0,1,1,0,0,0,0,0,0
craisins,0,0,0,,0,1,0,0,0,0,1,0,0,0
ginger tea pukka,0,0,0,0,0,0,0,0,0,0,0,0,0,0
green beans,0,0,0,,0,0,1,0,0,0,0,0,0,0
pumpkin bread,1,1,1,,0,1,1,1,0,0,0,0,0,0
70% coffee,0,0,0,,0,0,0,0,0,0,0,0,0,0
cappicola,0,0,1,,1,0,0,0,0,0,0,0,1,0
vegetable sushi,0,0,0,,0,0,1,1,0,0,0,0,0,1
soy sauce,0,1,0,,0,0,0,0,0,0,0,0,0,0
vinegarette,,,,,,,,,,,,,1,0
cranberry orange scone,1,1,1,,0,1,0,1,0,0,0,0,0,0
hot peppers,0,0,0,,0,0,1,0,0,0,0,0,0,1
ginger lemon tea,0,0,0,,0,1,0,0,0,0,0,0,0,0
rice,0,0,0,,0,0,0,1,0,0,0,0,0,0
bangain bharta,,,,,,,,,,,,,,0
peas,0,0,0,,0,0,0,0,0,1,0,0,0,0
skittles,0,0,1,,0,0,0,0,0,0,1,0,0,0
66% coffee,0,0,0,,0,0,0,0,0,0,0,0,0,0
oat milk,0,0,1,,0,0,0,1,0,0,0,0,0,0
oat milk cappuccino ,0,0,1,,0,0,0,1,0,0,0,0,0,0
salsa,0,0,1,,0,1,1,0,0,0,0,0,0,1
corn tortillas,0,0,0,,0,0,0,1,0,0,0,0,0,0
black beans,0,0,0,,0,0,0,0,0,1,0,0,0,0
corn,0,0,0,,0,0,0,1,0,0,0,0,0,0
50% coffee,0,0,0,,0,0,0,0,0,0,0,0,0,0
powdered donut,1,1,1,,0,0,0,1,0,0,1,0,1,0
peshawar naan,,,1,,0,0,0,1,0,0,0,0,0,0
macaroon,0,0,0,,0,0,0,0,0,0,1,0,1,0
watermelon,0,0,1,,0,1,0,0,0,0,0,0,0,1
mango,0,0,1,0,0,1,0,0,0,0,0,0,0,1
turkey,0,0,0,1,1,0,0,0,0,0,0,0,0,0
sourdough bread,0,1,1,0,0,0,0,1,0,0,0,0,0,0
dill,0,0,0,1,0,0,1,0,0,0,0,0,0,0
dill rice,0,0,0,0,0,0,1,1,0,0,0,0,0,0
clementine,0,0,0,0,0,1,0,0,0,0,0,0,0,1
biscotti,1,1,1,0,0,0,0,1,0,0,1,0,0,0
pumpkin butter,0,0,0,1,0,1,1,0,0,0,1,0,0,0
baba ganoush,0,0,0,1,0,0,1,0,0,0,0,0,0,0
life cereal,0,1,1,0,0,0,0,1,0,0,0,0,0,0
fried rice,0,1,,0,0,0,1,1,0,0,0,0,1,0
meat dumplings,0,1,1,0,1,0,1,1,0,0,0,0,1,0
tofu,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pizzelle,1,1,1,0,0,0,0,1,0,0,1,0,0,0
gf df cupcake,0,0,1,0,0,0,0,1,0,0,1,0,0,0
bean and kale soup,0,0,1,0,0,0,1,0,0,1,0,0,0,0
parmesan,1,0,0,1,0,0,0,0,0,0,0,0,0,0
sesame chicken,0,1,1,1,1,0,0,0,0,0,0,0,1,0
scallion pancake,0,1,1,0,0,0,0,1,0,0,0,0,0,0
flax meal,0,0,,,0,0,0,0,0,0,0,0,0,0
eggplant basil,0,1,1,0,0,0,1,0,0,0,0,0,1,0
chive pancake,0,1,1,0,0,0,1,1,0,0,0,0,1,0
onion,0,0,1,1,0,0,1,0,0,0,0,0,0,0
plain donut,1,1,1,0,0,0,0,1,0,0,1,0,1,0
smart balance,0,0,0,1,0,0,0,0,0,0,0,0,1,0
chia seed pudding,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ginger tea,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sweet potato,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pumpkin scone,1,1,1,0,0,1,1,1,0,0,1,0,0,0
capers,0,0,0,1,0,0,1,0,0,0,0,0,0,1
40% coffee,0,0,0,1,0,0,0,0,0,0,0,0,0,0
blackberries ,0,0,1,1,0,1,0,0,0,0,0,0,0,1
30% coffee,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gf df chocolate cupcake,0,0,1,0,0,0,0,0,0,0,1,0,0,0
peanuts,0,0,0,1,0,0,0,0,0,1,0,0,1,0
chicken sausage,0,0,0,1,1,0,0,0,0,0,0,0,1,0
cranberry pistachio scone,1,1,1,0,0,1,0,1,0,0,1,0,0,0
cadbury mini,1,0,1,0,0,0,0,0,0,0,1,0,1,0
potato chips jalapeno ,0,0,0,0,0,0,1,0,0,0,0,0,1,0
cupcake,1,1,1,0,0,0,0,0,0,0,0,0,1,0
pancakes,1,1,1,0,0,0,0,1,0,0,0,0,0,0
macaron,0,0,0,0,0,0,0,0,0,0,1,0,0,0
candy,0,0,1,0,0,0,0,0,0,0,1,0,0,0
red peppers,0,0,0,1,0,0,1,0,0,0,0,0,0,1
vanilla tea,0,0,0,1,0,0,0,0,0,0,0,0,0,0
vegetable dumplings,0,1,1,0,0,0,1,1,0,0,0,0,1,0
strawberry coconut yogurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vegetables,0,0,,1,0,0,1,0,0,0,0,0,0,0
carrot dressing,,,,,0,0,1,0,0,0,0,0,0,0
cantaloupe jam,0,0,0,0,0,1,0,0,0,0,1,0,0,0
chris mix with walnuts,,,,,,,,,,,,,,0
bbq chicken tenders,0,1,1,1,1,0,0,1,0,0,0,0,1,0
turkey chili,0,0,1,0,1,0,1,0,0,1,0,0,0,0
polenta,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25% coffee,0,0,0,1,0,0,0,0,0,0,0,0,0,0
escarole,0,0,0,1,0,0,1,0,0,0,0,0,0,1
coconut chocolate ice cream df,0,0,0,0,0,0,0,0,0,0,1,0,1,0
biscuit,1,1,1,0,0,0,0,1,0,0,0,0,0,0
endive,0,0,0,1,0,0,1,0,0,0,0,0,0,1
roasted potatoes,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tempeh,0,1,0,0,0,0,0,0,0,0,0,0,0,0
beans,0,0,1,0,0,0,0,0,0,1,0,0,0,0
tortillas,0,1,0,0,0,0,0,1,0,0,0,0,0,0
tortilla chips,0,0,0,0,0,0,0,1,0,0,0,0,1,0
panko,0,1,1,0,0,0,0,1,0,0,0,0,0,0
marmalade,0,0,0,0,0,0,0,0,0,0,1,0,0,0
broth,0,0,1,1,1,0,1,0,0,0,0,0,0,0
gf raisin bread,1,0,1,0,0,1,0,1,0,0,0,0,0,0
pecans,0,0,0,1,0,0,0,0,0,0,0,0,1,0
chocolate chip cookie,1,1,1,0,0,0,0,1,0,0,1,0,1,0
decaffeinated coffee,0,0,0,1,0,0,0,0,0,0,0,0,0,0
chickpea pasta,0,0,1,0,0,0,0,0,0,1,0,0,0,0
gum ,0,0,0,1,0,0,0,0,0,0,1,0,0,0
tomato sauce ,0,0,0,1,0,1,1,0,0,0,0,0,0,0
honey oat kind bar,0,0,0,0,0,0,0,1,0,0,1,0,0,0
gf toast raisin,1,0,0,0,0,1,0,1,0,0,0,0,0,0
grey poupon dijon mustard,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bbq sauce,0,0,0,,0,0,0,0,0,0,0,0,0,0
chips,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gf lime chips,0,0,0,0,0,0,0,1,0,0,0,0,1,0
bamboo shoots,0,0,0,1,0,0,1,0,0,0,0,0,0,0
gf toast ,0,0,0,0,0,0,0,1,0,0,0,0,0,0
maple mustard,0,0,1,0,0,0,0,0,0,0,0,0,0,0
turnip,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pulled pork in bbq sauce,0,0,0,1,1,0,0,0,0,0,0,0,1,0
hazelnut milk,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vanilla rooibos tea,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2 gf df toast,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"sausage, potato, veg soup",0,0,1,0,1,0,1,0,0,0,0,0,1,0
cranberries,0,0,0,0,0,1,0,0,0,0,0,0,0,1
asparagus,0,0,1,1,0,0,1,0,0,0,0,0,0,0
banana bread,1,1,1,0,0,1,0,1,0,0,1,0,1,0
gf df cookie,0,0,1,0,0,0,0,1,0,0,1,0,1,0
ginger ale,0,0,1,0,0,0,0,0,0,0,0,0,0,0
df ice cream,0,0,0,0,0,0,0,0,0,0,1,0,1,0
pecan crusted chicken,0,0,0,1,1,0,0,0,0,0,0,0,1,0
watermelon jelly,0,0,1,0,0,1,0,0,0,0,1,0,0,0
crackers with milk,1,1,1,0,0,0,0,1,0,0,0,0,0,0
meatballs,1,1,1,1,1,0,1,0,0,0,0,0,1,0
cashew ice cream,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pimm's cup,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"luna turkey panini with roasted red pepper, chipolte mayo, caramelized onions, french fries",1,1,1,0,1,0,1,0,0,0,0,0,1,1
spicy thai dressing,0,0,,,0,0,0,0,0,0,0,0,,0
roasted red pepper,0,1,0,1,0,0,1,0,0,0,0,0,0,0
wine sauce,1,1,1,0,0,0,0,0,0,0,0,1,0,0
chicken red curry,,,,,1,0,1,0,0,0,0,0,1,0
lemon pepper,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2 eggs,0,0,0,1,0,0,0,0,0,0,0,0,0,0
plum,0,0,1,0,0,1,0,0,0,0,0,0,0,1
turkey sausage,0,0,0,1,1,0,0,0,0,0,0,0,1,0
gf df fig pizza,0,0,1,0,0,1,1,1,0,0,0,0,0,0
strawberry preserves,0,0,0,0,0,1,0,0,0,0,0,1,0,0
falafel,0,0,1,0,0,0,1,0,0,1,0,0,0,0
mixed veggies,0,0,1,1,0,0,1,0,0,0,0,0,0,1
quinoa bowl chicken,0,0,0,0,1,0,0,1,0,0,0,0,0,0
rice milk,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cabbage,0,0,0,1,0,0,1,0,0,0,0,0,0,1
cookie with gluten,1,1,1,0,0,0,0,1,0,0,1,0,1,0
green pepper,0,0,0,1,0,0,1,0,0,0,0,0,0,1
bean sprouts,0,0,0,1,0,0,1,0,0,0,0,0,0,1
bourbon siracha sauce,0,1,1,0,0,0,0,0,0,0,0,1,0,0
eggplant ,0,0,0,1,0,0,1,0,0,0,0,0,0,1
marshmallow ,0,0,1,0,0,0,0,0,0,0,1,0,0,0
decaf almond milk cortado,0,0,1,1,0,0,0,0,0,0,0,0,0,0
pad thai chicken,0,0,0,0,1,0,1,1,0,0,1,0,0,0
butternut squash soup,1,0,1,0,0,0,1,0,0,0,0,0,0,0
peanut butter cookie ,1,1,1,0,0,0,0,1,0,1,1,0,1,0
fried tofu,0,0,0,1,0,0,0,0,0,0,0,0,1,0
salad greens,0,0,0,1,0,0,1,0,0,0,0,0,0,1
balsamic ,0,0,0,1,0,0,0,0,0,0,0,0,0,0
beet,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fried eggs,0,0,0,1,0,0,0,0,0,0,0,0,1,0
pecan,0,0,0,1,0,0,0,0,0,0,0,0,0,0
crunchy things,,,,,,,,,,,,,,0
ginger sesame dressing,0,1,,,0,0,0,0,0,0,0,0,1,0
corn chips,0,0,0,0,0,0,0,1,0,0,0,0,1,0
yellow beet,0,0,0,0,0,0,1,0,0,0,0,0,0,0
greens,0,0,0,1,0,0,1,0,0,0,0,0,0,1
gluten free pasta,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cashew,0,0,0,0,0,0,0,0,0,0,0,0,1,0
milk fat,1,0,0,1,0,0,0,0,0,0,0,0,1,0
cherries,0,0,1,0,0,1,0,0,0,0,0,0,0,0
milk,1,0,1,1,0,0,0,0,0,0,0,0,0,0
parmesan ,1,0,0,1,0,0,0,0,0,0,0,0,1,0
feta,1,0,0,1,0,0,0,0,0,0,0,0,0,0
potatoes,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tomato,0,0,0,1,0,1,1,0,0,0,0,0,0,0
hot pepper,0,0,0,1,0,0,1,0,0,0,0,0,0,1
dried chilies,0,0,0,1,0,0,1,0,0,0,0,0,0,0
peppers,0,0,0,1,0,0,1,0,0,0,0,0,0,1
anchovies,0,0,0,1,0,0,0,0,1,0,0,0,1,0
real bacon,0,0,0,1,1,0,0,0,0,0,0,0,1,0
oils,0,0,0,1,0,0,0,0,0,0,0,0,1,0
red beans,0,0,1,0,0,0,0,0,0,1,0,0,0,0
100 orange juice,0,0,1,0,0,1,0,0,0,0,0,0,0,1
cheddar,1,0,0,1,0,0,0,0,0,0,0,0,0,0
oranges,0,0,0,0,0,1,0,0,0,0,0,0,0,1
sesame seeds,0,0,0,1,0,0,0,0,0,0,0,0,1,0
coconut,0,0,0,1,0,0,0,0,0,0,0,0,1,0
pumpkin seed,0,0,0,1,0,0,0,0,0,0,0,0,1,0
oats,0,0,0,0,0,0,0,1,0,0,0,0,0,0
organic tapioca syrup,0,0,0,0,0,0,0,0,0,0,1,0,0,0
organic dates,0,0,1,0,0,1,0,0,0,0,0,0,0,0
cucumbers,0,0,0,1,0,0,1,0,0,0,0,0,0,0
red wine vinegar,0,0,0,1,0,0,0,0,0,0,0,0,0,0
spices,0,0,0,1,0,0,0,0,0,0,0,0,0,0
black tea,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pimm's,0,0,0,0,0,0,0,0,0,0,0,1,0,0
pectin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tapioca,0,0,0,1,0,0,0,0,0,0,0,0,0,0
natural flavors,0,0,0,1,0,0,0,0,0,0,0,0,0,0
organic spices,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lactic acid,0,0,0,1,0,0,0,0,0,0,0,0,0,0
salt,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sugars,0,0,0,0,0,0,0,0,0,0,0,1,0,0
organic garlic,0,0,1,1,0,0,1,0,0,0,0,0,0,0
starter cultures (in beef casing),,,,,,,,,,,,,,0
flax seeds,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ham stock,0,0,1,1,1,0,1,0,0,0,0,0,1,0
onions,0,0,0,1,0,0,1,0,0,0,0,0,0,1
lima beans,0,0,1,0,0,0,0,0,0,1,0,0,0,0
pumpkin,0,0,0,1,0,1,1,0,0,0,0,0,0,0
chocolate,1,0,0,0,0,0,0,0,0,0,1,0,0,0
asian noodles,,,1,0,0,0,0,1,0,0,0,0,1,0
edamame,0,0,1,1,0,0,0,0,0,1,0,0,0,0
salad,0,0,0,1,0,0,1,0,0,0,0,0,0,1
mandarin orange,0,0,0,1,0,1,0,0,0,0,0,0,0,1
pork dumplings,0,1,1,0,1,0,1,1,0,0,0,0,1,0
seaweed,0,0,0,1,0,0,1,0,0,0,0,0,0,0
chili sauce,0,0,1,1,0,0,0,0,0,0,0,0,0,0
green peppers,0,0,0,1,0,0,1,0,0,0,0,0,0,1
"sausage, potato, veg soup",0,0,1,1,1,0,1,0,0,0,0,0,1,0
high fructose corn syrup,0,0,1,0,0,0,0,0,0,0,1,0,0,0
sodium benzoate (preservative),0,0,0,1,0,0,0,0,0,0,0,0,0,0
carbonated water,0,0,0,1,0,0,0,0,0,0,0,0,0,0
citric acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caramel color,0,0,1,1,0,0,0,0,0,0,0,0,0,0
pineapple,0,0,0,0,0,1,0,0,0,0,0,0,0,0
turkey meat,0,0,0,1,1,0,0,0,0,0,0,0,0,0
coconut oil,0,0,0,1,0,0,0,0,0,0,0,0,1,0
raisins (99%),0,0,1,0,0,1,0,0,0,0,0,0,0,0
spice,0,0,0,1,0,0,0,0,0,0,0,0,0,0
apple cider,0,0,0,0,0,1,0,0,0,0,0,0,0,0
carrots,0,0,0,1,0,0,1,0,0,0,0,0,0,1
canellini beans,0,0,1,0,0,0,0,0,0,1,0,0,0,0
vegetable broth,0,0,1,1,0,0,1,0,0,0,0,0,0,0
tomato paste,0,0,0,1,0,1,1,0,0,0,0,0,0,0
scallions,0,0,1,1,0,0,1,0,0,0,0,0,0,1
soy sauce (gluten free),0,0,0,1,0,0,0,0,0,0,0,0,0,0
chives,0,0,0,1,0,0,1,0,0,0,0,0,0,0
basil,0,0,0,1,0,0,1,0,0,0,0,0,0,1
chicken broth,0,0,1,1,1,0,1,0,0,0,0,0,0,0
gluten ,0,1,0,0,0,0,0,1,0,0,0,0,0,0
fruit pectin,0,0,1,0,0,1,0,0,0,0,0,0,0,0
tartaric acid,0,0,0,1,0,0,0,0,0,0,0,0,0,0
water,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mustard seed,0,0,0,1,0,0,0,0,0,0,0,0,0,0
white wine,0,0,0,0,0,0,0,0,0,0,0,1,0,0
